word	lemma
de	de
je	je
est	être
pas	pas
le	le
que	que
la	le
vous	vous
tu	tu
un	un
c'	ce
à	à
et	et
il	il
a	avoir
l'	le
ne	ne
les	le
j'	je
en	en
on	on
ça	ça
une	un
d'	de
ce	ce
qu'	que
pour	pour
ai	avoir
n'	ne
des	un
qui	qui
mais	mais
dans	dans
nous	nous
elle	lui
me	me
bien	bien
si	si
du	du
y	y
suis	être
non	non
t'	te
avec	avec
tout	tout
plus	plus
mon	mon
m'	me
te	te
au	au
fait	faire
moi	moi
s'	se
oui	oui
va	aller
était	être
as	avoir
faire	faire
ils	il
sur	sur
quoi	quoi
se	se
comme	comme
sais	savoir
être	être
veux	vouloir
ici	ici
ma	mon
toi	toi
est-ce	est-ce
dit	dire
lui	luire
votre	votre
es	être
pourquoi	pourquoi
où	où
là	là
rien	rien
cette	ce
sont	être
quand	quand
peux	pouvoir
dire	dire
son	son
avez	avoir
vais	aller
alors	alors
ton	ton
comment	comment
par	par
ou	ou
chose	chose
bon	bon
ont	avoir
merci	merci
juste	juste
très	très
jamais	jamais
été	être
aussi	aussi
avoir	avoir
vraiment	vraiment
voir	voir
même	même
sa	son
oh	oh
maintenant	maintenant
tous	tout
peut	pouvoir
deux	deux
ces	ce
êtes	être
allez	aller
ta	ton
autre	autre
peu	peu
temps	temps
quelque	quelque
fais	faire
toujours	toujours
encore	encore
notre	notre
mes	mon
besoin	besoin
avait	avoir
accord	accord
faut	falloir
dois	devoir
vie	vie
peut-être	peut-être
aller	aller
fois	fois
vu	voir
donc	donc
sans	sans
monde	monde
étais	être
parce	parce
avant	avant
sûr	sûr
trop	trop
quelqu'	quelque
parler	parler
personne	personne
avais	avoir
père	père
crois	croire
après	après
aux	aux
dieu	dieu
ouais	ouais
ses	son
pense	penser
eu	avoir
aime	aimer
leur	son
homme	homme
viens	venir
vrai	vrai
femme	femme
ok	ok
doit	doit
veut	vouloir
ans	an
m.	m.
mal	mal
chez	chez
déjà	déjà
depuis	depuis
beaucoup	beaucoup
vos	votre
bonne	bon
mort	mort
mieux	mieux
vas	aller
mère	mère
sera	être
dis	dire
fille	fille
tes	ton
gens	gens
quel	quel
vois	voir
désolé	désolé
ca	ca
voilà	voilà
avons	avoir
petit	petit
maison	maison
soit	être
cela	celer
autres	autre
toute	toute
soir	soir
passé	passé
prendre	prendre
jour	jour
monsieur	monsieur
nos	notre
savoir	savoir
choses	chose
salut	salut
cet	ce
nom	nom
argent	argent
bonjour	bonjour
nuit	nuit
raison	raison
moins	moins
arrive	arriver
maman	maman
reste	reste
moment	moment
voulais	vouloir
seul	seul
aider	aider
air	air
entre	entrer
papa	papa
passe	passe
aurais	avoir
problème	problème
ah	ah
peur	peur
regarde	regarder
voulez	vouloir
gars	gars
trouvé	trouver
fils	fils
attends	attendre
savez	savoir
jusqu'	jusque
trouver	trouver
trois	trois
assez	assez
famille	famille
dû	devoir
eh	eh
toutes	tout
plaît	plaire
pourrait	pouvoir
travail	travail
pris	pris
pu	pouvoir
tête	tête
quelle	quel
sait	savoir
sommes	être
appelle	appeler
quelques	quelque
faites	faire
partir	partir
vite	vite
arrête	arrêter
seule	seul
serait	être
voiture	voiture
enfants	enfant
tuer	tuer
merde	merde
hé	hé
pendant	pendant
idée	idée
chance	chance
parle	parler
aurait	avoir
part	part
elles	lui
jours	jour
grand	grand
aujourd'hui	aujourd'hui
venir	venir
ami	ami
demain	demain
hein	hein
tard	tard
puis	pouvoir
truc	truc
passer	passer
petite	petit
tant	tant
connais	connaître
combien	combien
mec	mec
sens	sens
pouvez	pouvoir
porte	porte
sortir	sortir
